figure,panel,setting,measure,group,estimate,unit,ci_low,ci_high,n_conversations,notes,p_value,support_form
Figure 5,c,WC writing,P(next assistant scaffolded),prior passive,18.8,percent,,,,,,
Figure 5,c,LMSYS writing,P(next assistant scaffolded),prior constructive,34.2,percent,,,,,,
Figure 5,c,LMSYS writing,P(next assistant scaffolded),prior active,31.2,percent,,,,,,
Figure 5,c,LMSYS writing,P(next assistant scaffolded),prior passive,12.1,percent,,,,,,
Figure 5,c,SC writing,P(next assistant scaffolded),prior constructive,39.6,percent,,,,,,
Figure 5,c,SC writing,P(next assistant scaffolded),prior active,29.3,percent,,,,,,
Figure 5,c,SC writing,P(next assistant scaffolded),prior passive,26.5,percent,,,,,,
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior constructive,0.724405,odds ratio,0.644579,0.814117,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M1 feedback
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior active,0.831064,odds ratio,0.724753,0.952968,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M1 feedback
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior passive,2.164378,odds ratio,1.159327,4.040732,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M1 feedback
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior constructive,1.721071,odds ratio,1.45243,2.039399,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M4 explaining
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior active,2.127293,odds ratio,1.877418,2.410424,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M4 explaining
Figure 5,d,pooled model/source FE,adjusted odds ratio for next constructive turn,prior passive,2.880485,odds ratio,1.551771,5.346918,,Focal support forms selected from Section 2.4 conversation-level form patterns.,,M4 explaining
